Accession	assignment
CCW43444.1	CARB-clusterA
ACJ61335.1	CARB-clusterA
AAO59455.1	CARB-clusterA
AHJ02283.1	CARB-clusterB
AIL92328.1	CARB-clusterB
AGQ93789.1	CARB-clusterB
AIL92326.1	CARB-clusterB
BAC61820.1	CARB-clusterB
AIL92327.1	CARB-clusterB
WP_020835015.1	CARB-clusterB
AAC09012.1	CARB-clusterC
AAB19430.2	CARB-clusterC
AAD19217.1	CARB-clusterC
AAP22374.1	CARB-clusterC
AAK96394.1	CARB-clusterC
AAM74565.1	CARB-clusterC
BAA02497.1	CARB-clusterC
AAZ91704.1	CARB-clusterC
CAA33795.1	CARCBL
CAC87665.1	CAU-1
ACT97415.1	CblA
AAA22904.1	CcrA
AAA21532.1	cepA
CAA56561.1	CepS
AAD23513.1	CfxA
ACT97371.1	CfxA
AAV37205.1	CfxA
AAB17891.1	CfxA
AAV37206.1	CfxA
AAL79549.2	CfxA
AET07387.1	CMY/CFE/LAT
CAH03679.1	CMY/CFE/LAT
ADM21467.1	CMY/CFE/LAT
AFU25635.1	CMY/CFE/LAT
ADK55605.1	CMY/CFE/LAT
ADT91162.1	CMY/CFE/LAT
ADP02979.1	CMY/CFE/LAT
BAF95726.1	CMY/CFE/LAT
ACA30420.1	CMY/CFE/LAT
AHL39330.1	CMY/CFE/LAT
AHA80101.1	CMY/CFE/LAT
AAZ66866.1	CMY/CFE/LAT
AEI52842.1	CMY/CFE/LAT
BAO05497.1	CMY/CFE/LAT
AEM97672.1	CMY/CFE/LAT
AGH70380.1	CMY/CFE/LAT
AFK73446.1	CMY/CFE/LAT
CAA75402.1	CMY/CFE/LAT
AHL39322.1	CMY/CFE/LAT
AIT76099.1	CMY/CFE/LAT
AGC54799.1	CMY/CFE/LAT
AIT76091.1	CMY/CFE/LAT
ABN51007.1	CMY/CFE/LAT
AFK73431.1	CMY/CFE/LAT
AFU25638.1	CMY/CFE/LAT
ABS12248.1	CMY/CFE/LAT
ABQ51091.1	CMY/CFE/LAT
AGU59995.1	CMY/CFE/LAT
AAQ16660.2	CMY/CFE/LAT
ABB72431.1	CMY/CFE/LAT
CAA62957.1	CMY/CFE/LAT
BAC76072.1	CMY/CFE/LAT
AFK08538.1	CMY/CFE/LAT
ACA30422.1	CMY/CFE/LAT
AFK73449.1	CMY/CFE/LAT
ACJ05361.1	CMY/CFE/LAT
ACA30421.1	CMY/CFE/LAT
ACA97847.1	CMY/CFE/LAT
AIT76093.1	CMY/CFE/LAT
AIT76089.1	CMY/CFE/LAT
ADK55604.1	CMY/CFE/LAT
ABN69070.1	CMY/CFE/LAT
AGR82311.1	CMY/CFE/LAT
AFK73434.1	CMY/CFE/LAT
AEZ49849.1	CMY/CFE/LAT
ACA97846.1	CMY/CFE/LAT
AIT76097.1	CMY/CFE/LAT
ACJ65711.1	CMY/CFE/LAT
AAX58682.2	CMY/CFE/LAT
ADY19254.1	CMY/CFE/LAT
AEM97673.1	CMY/CFE/LAT
AFU25632.1	CMY/CFE/LAT
CCK86743.1	CMY/CFE/LAT
CBI75447.1	CMY/CFE/LAT
AGE45504.1	CMY/CFE/LAT
ABF06441.1	CMY/CFE/LAT
AFU25644.1	CMY/CFE/LAT
AHA80103.1	CMY/CFE/LAT
BAG14343.1	CMY/CFE/LAT
CAD88479.1	CMY/CFE/LAT
ACU00152.1	CMY/CFE/LAT
AIT76090.1	CMY/CFE/LAT
AAS13399.1	CMY/CFE/LAT
AHL39327.1	CMY/CFE/LAT
CBH19182.1	CMY/CFE/LAT
AFK73452.1	CMY/CFE/LAT
ABS12249.1	CMY/CFE/LAT
ADQ38362.1	CMY/CFE/LAT
AFU25641.1	CMY/CFE/LAT
AIT76092.1	CMY/CFE/LAT
AHA80102.1	CMY/CFE/LAT
BAF56185.1	CMY/CFE/LAT
AEM97674.1	CMY/CFE/LAT
CAB36902.1	CMY/CFE/LAT
AAU95778.1	CMY/CFE/LAT
BAF36388.1	CMY/CFE/LAT
CAA55007.1	CMY/CFE/LAT
ACV32310.1	CMY/CFE/LAT
AGZ20169.1	CMY/CFE/LAT
CBB16411.1	CMY/CFE/LAT
CAP60699.1	CMY/CFE/LAT
AFK73443.1	CMY/CFE/LAT
AHW47897.1	CMY/CFE/LAT
CAD88477.1	CMY/CFE/LAT
AEZ49855.1	CMY/CFE/LAT
ABR18736.1	CMY/CFE/LAT
ADP37961.1	CMY/CFE/LAT
AHA80104.1	CMY/CFE/LAT
AHM76768.1	CMY/CFE/LAT
AIT76098.1	CMY/CFE/LAT
BAL63057.1	CMY/CFE/LAT
BAJ17544.1	CMY/CFE/LAT
AFK08541.1	CMY/CFE/LAT
CAA76382.1	CMY/CFE/LAT
ADH82410.1	CMY/CFE/LAT
ABN51006.1	CMY/CFE/LAT
CAB36900.1	CMY/CFE/LAT
AHL39324.1	CMY/CFE/LAT
AFK73437.1	CMY/CFE/LAT
AFK73455.1	CMY/CFE/LAT
YP_009075895.1	CMY/CFE/LAT
ABY58049.1	CMY/CFE/LAT
AGC54798.1	CMY/CFE/LAT
ADW84690.1	CMY/CFE/LAT
BAB72158.1	CMY/MOX-clusterA
AAD50818.2	CMY/MOX-clusterA
BAA02563.2	CMY/MOX-clusterA
BAE48233.1	CMY/MOX-clusterA
CAA63264.1	CMY/MOX-clusterB
AAK31368.1	CMY/MOX-clusterB
AAK31370.1	CMY/MOX-clusterB
ACS44783.1	CMY/MOX-clusterC
CAB82578.1	CMY/MOX-clusterC
ACS44784.1	CMY/MOX-clusterC
AGH56079.1	CMY/MOX-clusterC
ACA30419.1	CMY/MOX-clusterC
ACS44785.1	CMY/MOX-clusterC
ACI89425.1	CMY/MOX-clusterC
AAM63403.1	cphA/imiHS
CAA40386.1	cphA/imiHS
CAD69003.1	cphA/imiHS
CAA71441.1	cphA/imiHS
AAP69912.1	cphA/imiHS
AAB03413.1	cphA/imiHS
AAP97129.1	cphA/imiHS
AAP69913.1	cphA/imiHS
AAP69914.1	cphA/imiHS
AJP77054	CPS-1/ESP-1
AJP77085	CPS-1/ESP-1
AIS67611.1	CTX-M-clusterA
AAY84742.1	CTX-M-clusterA
ABM97538.1	CTX-M-clusterA
ACP18863.1	CTX-M-clusterA
AEM44650.1	CTX-M-clusterA
AAF93177.1	CTX-M-clusterA
ADY02545.1	CTX-M-clusterA
BAD16611.1	CTX-M-clusterA
CAA63262.1	CTX-M-clusterA
AAP43508.1	CTX-M-clusterA
ABY91281.1	CTX-M-clusterA
ABB59946.1	CTX-M-clusterA
AET99223.1	CTX-M-clusterA
AAR99493.1	CTX-M-clusterA
ABI34705.1	CTX-M-clusterA
AIT97310.1	CTX-M-clusterA
ABV81082.1	CTX-M-clusterA
AEM44651.1	CTX-M-clusterA
AGW25368.1	CTX-M-clusterA
AFY98865.1	CTX-M-clusterA
ABN09669.1	CTX-M-clusterA
ABC18328.3	CTX-M-clusterA
AAL86924.1	CTX-M-clusterA
ACU00153.1	CTX-M-clusterA
CAD70280.1	CTX-M-clusterA
AAO88912.1	CTX-M-clusterA
CAG28417.1	CTX-M-clusterA
AIS67613.1	CTX-M-clusterA
AEM44654.1	CTX-M-clusterA
ABW86620.2	CTX-M-clusterA
CAA71321.1	CTX-M-clusterA
ABB17185.1	CTX-M-clusterA
CAL80726.1	CTX-M-clusterA
CDG50843.1	CTX-M-clusterA
CAD89606.1	CTX-M-clusterA
AIS67612.1	CTX-M-clusterA
ACV92002.1	CTX-M-clusterA
ABB72225.1	CTX-M-clusterA
ABO09821.1	CTX-M-clusterA
ABQ45409.1	CTX-M-clusterA
AAL99990.1	CTX-M-clusterA
AHX39588.1	CTX-M-clusterA
AAG34108.1	CTX-M-clusterA
AAV97957.1	CTX-M-clusterA
AEI70324.1	CTX-M-clusterA
AGG08693.1	CTX-M-clusterA
AAP22736.1	CTX-M-clusterA
AAT68658.1	CTX-M-clusterA
AAT70415.1	CTX-M-clusterA
ABP04245.1	CTX-M-clusterA
AAL02127.1	CTX-M-clusterA
ABN48311.1	CTX-M-clusterB
BAD83775.1	CTX-M-clusterB
CAQ42486.1	CTX-M-clusterB
CAC95175.1	CTX-M-clusterB
AAV28215.1	CTX-M-clusterB
AAF04388.1	CTX-M-clusterB
CAD99181.1	CTX-M-clusterB
AEW46676.2	CTX-M-clusterB
CAQ42480.1	CTX-M-clusterB
CAA74573.1	CTX-M-clusterB
AGN11769.1	CTX-M-clusterB
CAA06312.1	CTX-M-clusterB
AFH88134.1	CTX-M-clusterB
CAA06311.1	CTX-M-clusterB
ACY74743.1	CTX-M-clusterB
ACS32293.1	CTX-M-clusterB
BAA07082.1	CTX-M-clusterB
BAD90119.1	CTX-M-clusterB
CBL80615.1	CTX-M-clusterB
AAZ95872.1	CTX-M-clusterB
AAC32890.1	CTX-M-clusterB
AIL54055.1	CTX-M-clusterB
ABD73290.1	CTX-M-clusterB
ACS32294.1	CTX-M-clusterB
AAZ14955.1	CTX-M-clusterB
BAP34782.1	CTX-M-clusterC
AFJ59957.1	CTX-M-clusterD
AFA51699.1	CTX-M-clusterD
AEM44652.1	CTX-M-clusterD
AAV97955.1	CTX-M-clusterD
AAN38836.1	CTX-M-clusterD
AAK55534.1	CTX-M-clusterD
AAV70602.1	CTX-M-clusterD
BAL72196.1	CTX-M-clusterD
AFO69261.1	CTX-M-clusterD
AJO16046.1	CTX-M-clusterD
AAM70498.1	CTX-M-clusterD
AHA80961.1	CTX-M-clusterD
ADK11041.1	CTX-M-clusterD
AAF05311.2	CTX-M-clusterD
AAV97952.1	CTX-M-clusterD
AAY43008.1	CTX-M-clusterD
AFA51700.1	CTX-M-clusterD
ABN69105.1	CTX-M-clusterD
BAO37256.1	CTX-M-clusterD
AFA51701.1	CTX-M-clusterD
ADO17948.1	CTX-M-clusterD
AAV97954.1	CTX-M-clusterD
ABV57756.3	CTX-M-clusterD
CBW46935.1	CTX-M-clusterD
AAV97953.1	CTX-M-clusterD
ACB41777.1	CTX-M-clusterD
ADY02546.1	CTX-M-clusterD
AAF72530.1	CTX-M-clusterD
ADL27532.1	CTX-M-clusterD
ADN26580.1	CTX-M-clusterD
AEM44653.1	CTX-M-clusterD
ACI29348.1	CTX-M-clusterD
CAD08929.1	CTX-M-clusterD
BAF63422.1	CTX-M-clusterD
AAX54694.1	CTX-M-clusterD
ADY02554.1	CTX-M-clusterD
AAV97956.1	CTX-M-clusterD
ABS90365.1	CTX-M-clusterD
AEM44648.1	CTX-M-clusterD
ACI29347.1	CTX-M-clusterD
AFQ94051.1	CTX-M-clusterD
AAN75444.1	CTX-M-clusterD
AAF72531.1	CTX-M-clusterD
CAQ42481.2	CTX-M-clusterD
ACI29346.1	CTX-M-clusterD
AAK32961.1	CTX-M-clusterD
AHY20039.1	CTX-M-clusterD
ACQ99521.1	CTX-M-clusterD
BAA28282.1	CTX-M-clusterD
ADZ31262.1	CTX-M-clusterD
AFX60298.1	CTX-M-clusterD
AAO61597.1	CTX-M-clusterD
ACX34099.1	CTX-M-clusterD
AEM44649.1	CTX-M-clusterD
ABA62022.1	CTX-M-clusterD
AAK71471.1	CTX-M-clusterD
AHX39589.1	CTX-M-clusterD
AJU57235.1	CTX-M-clusterD
ACI29345.1	CTX-M-clusterD
ACR56321.1	CTX-M-clusterD
AFJ59956.1	CTX-M-clusterD
ADY02555.1	CTX-M-clusterD
AIT76106.1	DHA
AIT76102.1	DHA
AAG36927.1	DHA
AIT76105.1	DHA
ADQ00385.1	DHA
AIT76103.1	DHA
CDL68900.1	DHA
CAA76196.1	DHA
AIT76109.1	DHA
AIT76108.1	DHA
ADT91161.1	DHA
AIT76094.1	DHA
AIT76100.1	DHA
AEL22919.1	DHA
AIT76101.1	DHA
AIT76107.1	DHA
AJO16043.1	DHA
AAR87489.1	DHA
AGC92784.1	DIM-1
AAN32638.1	EBR-1
AAA26775.1	EXO-1
CAB96921.1	FEZ
CAA71947.1	FOX
AGE45503.1	FOX
CAA54602.1	FOX
CAG28256.1	FOX
CAA71325.1	FOX
AEK78851.1	FOX
ADK73994.1	FOX
AAG12974.1	FOX
CAB89086.1	FOX
AFK80745.1	GES
ADC91899.1	GES
CBG22732.1	GES
BAD06399.1	GES
ADZ48685.1	GES
AAY43207.1	GES
AAP22974.1	GES
AFU25739.1	GES
BAD08689.1	GES
ACS44714.1	GES
ACZ54536.1	GES
ACS73598.1	GES
AAK18183.1	GES
AAF27723.1	GES
AEZ05108.1	GES
AGT20529.1	GES
ADJ94120.1	GES
AAR97270.1	GES
ACZ98826.1	GES
AEZ05107.1	GES
AAK58421.1	GES
AEX59144.1	GES
BAP75641.1	GES
AJP67510.1	GES
AAR97271.1	GES
CAF05908.1	GIM
AIY26289.1	GIM
AAF04458.1	GOB
AAY53478.1	GOB
AMY61250.1	HMB-1
CAA79967.1	IMI
ACX71212.1	IMI
AAA93461.1	IMI
ABA00479.1	IMI
AIS19858.1	IMI
AHE78014.1	IMI
BAM62793.1	IMP
ABM67078.1	IMP
CAB94707.1	IMP
AAK13430.1	IMP
CAD12765.1	IMP
AEU17778.1	IMP
BAQ56016.1	IMP
ACY01749.1	IMP
CAA11471.1	IMP
AFG25462.1	IMP
AAK27847.1	IMP
ABC88434.1	IMP
AIT76110.1	IMP
BAB72072.1	IMP
ACB41775.1	IMP
BAM98935.1	IMP
BAM38093.1	IMP
CAE48334.1	IMP
AAK13430.1	IMP
BAD89802.1	IMP
AAT49068.1	IMP
AFO59566.1	IMP
AFP97028.1	IMP
ABF70513.1	IMP
BAB15941.1	IMP
AAK13078.1	IMP
BAB72069.1	IMP
AGS82587.1	IMP
BAA77393.1	IMP
AAK12087.1	IMP
AAT49070.1	IMP
BAM62794.1	IMP
AFG73659.1	IMP
AEN75249.1	IMP
CAD80251.1	IMP
BAD81061.1	IMP
BAM62795.1	IMP
BAM98942.1	IMP
ABM68358.1	IMP
AEQ73520.1	IMP
AFR33816.1	IMP
AIA58910.1	IMP
AAK59385.1	IMP
AEH41427.1	IMP
BAJ05825.1	IND-clusterA
ADK25050.1	IND-clusterA
AAG29757.1	IND-clusterA
ABS29619.1	IND-clusterA
BAJ14288.1	IND-clusterA
AAG29760.1	IND-clusterA
ADK25051.1	IND-clusterA
ACZ65153.1	IND-clusterA
CAJ32373.2	IND-clusterB
AAG29761.2	IND-clusterB
ADK38716.1	IND-clusterB
ADA13241.1	IND-clusterB
AAD20273.1	IND-clusterB
AAS78754.1	IND-clusterB
ACZ65152.1	IND-clusterB
AAG29765.2	IND-clusterC
AAK38324.1	JOHN-1
BAF91108.1	KHM-1
ACS35345.1	KPC
ACI95258.1	KPC
AAU06362.1	KPC
AFV48348.1	KPC
AGJ01153.1	KPC
ACM91559.1	KPC
ADH95186.1	KPC
AIH07017.1	KPC
AGF70638.1	KPC
ABY91240.1	KPC
AAL05630.1	KPC
ADZ75467.1	KPC
ACB71165.1	KPC
AIX87991.1	KPC
AEA73284.1	KPC
ACE62798.1	KPC
AGJ01154.1	KPC
AAK70220.1	KPC
CAB75346.1	L1
ACH58997.1	LAR-18
CAA40146.1	LCR/NPS
AAK14791	LCR/NPS
CAA28198.1	LEN
CAG25830.1	LEN
CAG25828.1	LEN
CAG25817.1	LEN
CAG25814.1	LEN
AAP93847.1	LEN
AAL50725.1	LEN
AAU89706.1	LEN
CAP12346.2	LEN
CAP12347.2	LEN
AAK69830.1	LEN
CAP12348.2	LEN
CAP12349.2	LEN
CAP12350.2	LEN
CAP12351.2	LEN
CAP12352.2	LEN
WP_025712239	LEN
AAN05030.1	LEN
AAN05031.1	LEN
AAU25807.1	LEN
AAP93848.1	LEN
CAG25836.1	LEN
CAG25835.1	LEN
CAG25834.1	LEN
ACH58980.1	LRA-1
ACH58999.1	LRA-10
ACH58990.1	LRA-12
ACH58991.1	LRA-13
ACH58994.1	LRA-17
ACH59005.1	LRA-19
ACH58985.1	LRA-2
ACH58987.1	LRA-3
ACH59002.1	LRA-5
ACH58989.1	LRA-7/9
ACH58998.1	LRA-7/9
ACH58988.1	LRA-8
WP_042649345	MOX-9
AJP77057	MSI-1
AAN63647.1	MUS-1/2
WP_063860852	MUS-1/2
AEX08599.1	NDM
AGT37351.1	NDM
BAQ02518.1	NDM
AFQ31613.1	NDM
BAM84089.1	NDM
CAZ39946.1	NDM
AEN03071.1	NDM
AGU91756.1	NDM
AFK80349.1	NDM
AEA41876.1	NDM
AFB82585.1	NDM
BAO79439.1	NDM
AJP18054.1	NDM
AOT73359.1	NDM
CAC04522.1	OCH
CAC17623.1	OCH
CAC17627.1	OCH
ABF50909.1	OCH
CAC17622.1	OCH
CAC17624.1	OCH
CAC17625.1	OCH
CAC17626.1	OCH
CAG25812.2	OKP-A
CAJ19608.1	OKP-A
CAP12353.2	OKP-A
CAP12354.2	OKP-A
ACL68096.1	OKP-A
ACL68095.1	OKP-A
ACN65419.1	OKP-A
ACN65418.1	OKP-A
CAG25815.2	OKP-A
CAJ19599.1	OKP-A
CAJ19601.1	OKP-A
CAJ19602.1	OKP-A
CAJ19603.1	OKP-A
CAJ19605.1	OKP-A
CAJ19606.1	OKP-A
CAJ19607.1	OKP-A
CAG25813.2	OKP-B
CAJ19619.1	OKP-B
CAJ19620.1	OKP-B
CAG25831.1	OKP-B
AAV80715.1	OKP-B
CAP12357.2	OKP-B
CAP12358.1	OKP-B
CAP12359.2	OKP-B
CAJ19610.1	OKP-B
CAP12360.2	OKP-B
CAJ19611.1	OKP-B
CAJ19612.1	OKP-B
CAP12356.2	OKP-B
CAP12355.2	OKP-B
CAJ19615.1	OKP-B
CAJ19616.1	OKP-B
CAJ19618.1	OKP-B
AAA83417.1	OXA-12
AAB58555.1	OXA-18
AFO09968.1	OXA-184
ADT70779.1	OXA-198
AEM66528.1	OXA-209
AAD12233.1	OXA-22
CAC35728.1	OXA-29
AET35493.1	OXA-347
CAD58780.1	OXA-45
AAQ76277.1	OXA-50
